Source name,Name,Description of contents,Website Category,Date posted on Mathematica's website,WHO,CDC,ECDC,NHC,DXY,1point3acres,Worldometers.info,BNO,State Health Depts,BRFSS,U.S. Census,JHU CSSE,Public Coronavirus Twitter Dataset,Kaiser Family Foundation,ESRI,Healthmap,Other,NAHDO?
CDC,,"A number of resources are available from the <a href='https://www.cdc.gov/coronavirus/2019-ncov/index.html'>CDC</a>, including: 
- This National Syndromic Surveillance Program (NSSP) <a href='https://www.cdc.gov/nssp/index.html'>landing page</a>, which has links to tools to help epidemiologists find cases of COVID-19, including a resource center and information pages. 
- An <a href='https://www.cdc.gov/coronavirus/2019-ncov/cases-updates/cases-in-us.html'>overview</a> of the number of COVID-19 cases in the U.S., overall and by state. The web page shows the national trend in COVID-19 cases by their report date and by the estimated date of illness onset.
- A <a href='https://www.cdc.gov/nchs/data/icd/ICD-10-CM-Official-Coding-Gudance-Interim-Advice-coronavirus-feb-20-2020.pdf'>memo</a> about ICD-10-CM coding guidelines for COVID-19",Guidance Documents and Other Resources,30-Mar,,1,,,,,,,,,,,,,,,,1
Kinsa Insights,,"<a href='https://healthweather.us/'>This dashboard</a> visualizes aggregated temperature data collected from Kinsa Insights' network of Smart Thermometers. The dashboard maps ""(1) the trend in how illness levels are changing in the past week, (2) the illness levels we are currently observing, and (3) the degree to which those levels are higher than the typical levels we expect to see at this point in the flu season"" at the county level. Note that this dashboard does not track COVID-19 cases directly. This webpage summarizes the technical approach used, including the statistical methods used to compare the method against the Influenza B outbreak in Fall 2019",Case counts and testing rates,30-Mar,,,,,,,,,,,,,,,,,1,1
Penn Medicine CHIME,,"<a href='https://penn-chime.phl.io/'>This open-source tool</a> allows hospitals to project new hospital admissions, ICU admissions, and patients requiring ventilation due to COVID-19. Users input data about their hospital and population and modify assumptions related to the spread of COVID-19. The tool then runs an epidemiological SIR (Susceptible, Infected, Recovered) model to project the number of new hospitalizations per day. This tool can be used to create best- and worst-case scenarios to assist with hospital capacity planning. Related information includes user documentation (describing the objective of the app, data inputs, and tool outputs), a <a href='https://github.com/CodeForPhilly/chime/'>GitHub repository</a> (developers can contribute to the tool or branch off to modify or expand on the code), and developer <a href='https://codeforphilly.github.io/chime/'>documentation</a>.",Case counts and testing rates,30-Mar,,,,,,,,,,,,,,,,,,1
Epidemic Calculator,,"<a href='https://gabgoh.github.io/COVID/index.html'>This tool</a> allows users to project exposures, infections, and hospitalizations due to COVID-19. Users input assumptions about COVID-19 transmission and clinical dynamics and the tool uses an epidemiological SEIR (Susceptible, Exposed, Infectious, Removed) model to project the spread of COVID-19 and resulting hospitalizations.",Case counts and testing rates,30-Mar,1,,,,,,,,,,,,,,,,,1
Boston Children's Hospital/Harvard,,"<a href='https://covidnearyou.org/#!/'>This tool</a> uses crowdsourced data to map COVID-19 symptoms and tests by zip code. It also shows case counts by zip codes from publicly available sources. 	",Identifying at-risk populations,30-Mar,1,1,,,,,,,1,,,1,,,,1,1,1
Appian COVID-19 Response Management application,,"<a href='https://www.appian.com/covid19-response-management/'>This free app</a> helps large organizations (with 1,000 or more employees) monitor the health and safety of their employees during the COVID-19 pandemic. The app allows companies to easily share company policies related to COVID-19; allows employees to report their work status, travel history, and COVID-19-related exposures; and provides a space for employees to offer one another assistance. The application is hosted on the Appian HIPPA-compliant cloud, protecting employees health data.",Identifying at-risk populations,30-Mar,,,,,,,,,,,,,,,,,,1
DXY,Global Pandemic Real-time Report,"<a href='https://ncov.dxy.cn/ncovh5/view/en_pneumonia?from=dxy&source=&link=&share='>This website</a> compiles data from the WHO, the CDC and confirmed media sources such as CNN and the BBC to show case counts globally in graph form.",Case counts and testing rates,New!,1,1,,,1,,,,,,,,,,,,1,
Healthmap,Novel Coronavirus (Covid-19),"<a href='https://www.healthmap.org/covid-19/'>This dashboard</a> shows case counts by region across the world. Raw data is available on their <a href='https://github.com/beoutbreakprepared/nCoV2019'>Github page</a>. The dashboard is a partnership between various organizations, universities, and hospitals.",Case counts and testing rates,New!,1,1,,,1,,,,,,,,,,,1,,
LOINC,SARS Coronavirus 2,<a href='https://loinc.org/sars-coronavirus-2/'>This webpage</a> includes Regenstrief LOINC codes for a variety of manufacturers' SARS-CoV-2 test kits. The page also includes FAQs.,COVID-19 diagnosis codes,New!,,,,,,,,,,,,,,,,,,
AMA,,"<a href='https://www.ama-assn.org/practice-management/cpt/cpt-releases-new-coronavirus-covid-19-code-description-testing'>This announcement</a> from the American Medical Association (AMA) reports a new Current Procedural Terminology (CPT) code for reporting COVID-19 tests.  It also links to a fact sheet that summarizes coding guidance for this new code. This fact sheet summarizes coding guidance for the CPT code introduced for the COVID-19 test. The <a href='https://www.ama-assn.org/system/files/2020-03/cpt-assistant-guide-coronavirus.pdf'>fact sheet</a> includes a summary of the code and it's purpose, a clinical example, and a description of the procedure. ",COVID-19 diagnosis codes,New!,,,,,,,,,,,,,,,,,,
nCov2019.live,Global COVID-19 outlook,"<a href='https://ncov2019.live/data'>This dashboard</a> summarises number of cases, deceased and recovered by country in real time and by country as well as world region. There is an option for a map view. The website also includes some rudimentary information on COVID-19.",Case counts and testing rates,New!,1,1,,,,,,1,1,,,,,,,,,
University of Arizona,"
Sewage Surveillance: WEST tests wastewater to determine Coronavirus presence in communities","<a href='https://west.arizona.edu/news/2020/03/sewage-surveillance-west-tests-wastewater-determine-coronavirus-presence-communities'>WEST</a> proposes to test waste water to collect data to determine when and if the new coronavirus enters a metropolitan area, the concentration that can be expected in the untreated wastewater and potential risk to wastewater treatment workers, and status of removal of the virus by the treatment process.",Identifying at-risk populations,New!,,,,,,,,,,,,,,,,,,
Yale University,Interactive COVID-19 Childcare Map,<a href=/https://covid.yale.edu/innovation/mapping/childcare/>This dashboard</a> uses Census data to estimate child care demand for the children of workers in critical sectors.,Identifying at-risk populations,New!,,,,,,,,,,,,,,,,,1,
IHME,COVID-19 Projections,<a href='https://covid19.healthdata.org/united-states-of-america'>This simulator</a> predicts cases and resource use assuming full social distancing through May 2020 for various countries.,Provider capacity and patient needs,New!,,,,,,,,,,,,,,,,,1,
19&Me,COVID-19 Risk Score Calculator,<a href=/https://19andme.shinyapps.io/covid_risk_score/'>This website</a> estimates how much risk covid-19 poses to individuals.,Identifying at-risk populations,New!,,,,,,,,,,,,,,,,,1,
SEAN,COVID-19 survey archive,"<a href='https://covid-19.parc.us.com/client/index.html#/'>This website</a> provides an open-access archive houses probability-based survey data and reports measuring public attitudes, behavior and experiences related to the pandemic.",Guidance Documents and Other Resources,New!,,,,,,,,,,,,,,,,,1,
ICPSR,"Best Practices for Measuring the Social, Behavioral, and Economic Impact of Epidemics","<a href='https://www.icpsr.umich.edu/icpsrweb/about/cms/2347'>This report</a> reviews best practices for using data resources from ICPSR, its projects, and its collaborating partners for measuring the impact of epidemics. The report summarizes resources to identify measures of well-being, social connectedness, and other constructs to measure the social and behavioral effects of the COVID-19 epidemic on population health outcomes. It also suggests data resources to identify pre-crisis measures of social distancing, social networks, consumer confidence, unemployment, and the use of social media.",Guidance Documents and Other Resources,New!,,,,,,,,,,,,,,,,,1,
Luminary Labs,COVID-19 open innovation index,"<a href='https://www.luminary-labs.com/insight/covid-19-open-innovation-index/'>This website</a> tracks innovation challenges, hackathons and other open initiatives to address the covid-19 crisis.",Guidance Documents and Other Resources,New!,,,,,,,,,,,,,,,,,1,
